code,zh
SEAT4-1,模块-座包-SEAT4-1
SEAT4-2,模块-靠背-SEAT4-2
L4-ARM,模块-左扶手-L4-ARM
R4-ARM,模块-右扶手-R4-ARM
SR4-ARM,模块-右扶手（智能）-SR4-ARM
C4-SEAT-1,模块-直角沙发座包-C4-SEAT-1
C4-SEAT-2,模块-直角沙发靠背-C4-SEAT-2
C4-ARM,模块-直角沙发扶手-C4-ARM
OTTOMAN4,模块-脚踏-OTTOMAN4
OL4-ARM-WH-1,左扶手-纯白麻布-KERY-01
OL4-ARM-CR-1,左扶手-米白麻布-SF-1100
OL4-ARM-CH-1,左扶手-深灰粗麻-EMMA-02
OL4-ARM-GV-1,左扶手-灰绒布-HM050-20
OL4-ARM-BV-1,左扶手-蓝绒布-HM050-15
OL4-ARM-GR-1,左扶手-绿绒布-苏丽-10
OL4-ARM-BL-1,左扶手-黑皮-香奈儿15
OR4-ARM-WH-1,右扶手-纯白麻布-KERY-01
OR4-ARM-CR-1,右扶手-米白麻布-SF-1100
OR4-ARM-CH-1,右扶手-深灰粗麻-EMMA-02
OR4-ARM-GV-1,右扶手-灰绒布-HM050-20
OR4-ARM-BV-1,右扶手-蓝绒布-HM050-15
OR4-ARM-GR-1,右扶手-绿绒布-苏丽-10
OR4-ARM-BL-1,右扶手-黑皮-香奈儿15
OSEAT4-WH-2,沙发靠背-纯白麻布-KERY-01
OSEAT4-CR-2,沙发靠背-米白麻布-SF-1100
OSEAT4-CH-2,沙发靠背-深灰粗麻-EMMA-02
OSEAT4-GV-2,沙发靠背-灰绒布-HM050-20
OSEAT4-BV-2,沙发靠背-蓝绒布-HM050-15
OSEAT4-GR-2,沙发靠背-绿绒布-苏丽-10
OSEAT4-BL-2,沙发靠背-黑皮-香奈儿15
OSEAT4-WH-1,沙发座包-纯白麻布-KERY-01
OSEAT4-CR-1,沙发座包-米白麻布-SF-1100
OSEAT4-CH-1,沙发座包-深灰粗麻-EMMA-02
OSEAT4-GV-1,沙发座包-灰绒布-HM050-20
OSEAT4-BV-1,沙发座包-蓝绒布-HM050-15
OSEAT4-GR-1,沙发座包-绿绒布-苏丽-10
OSEAT4-BL-1,沙发座包-黑皮-香奈儿15
OC4-SEAT-WH-2,直角沙发靠背-纯白麻布-KERY-01
OC4-SEAT-CR-2,直角沙发靠背-米白麻布-SF-1100
OC4-SEAT-CH-2,直角沙发靠背-深灰粗麻-EMMA-02
OC4-SEAT-GV-2,直角沙发靠背-灰绒布-HM050-20
OC4-SEAT-BV-2,直角沙发靠背-蓝绒布-HM050-15
OC4-SEAT-GR-2,直角沙发靠背-绿绒布-苏丽-10
OC4-SEAT-BL-2,直角沙发靠背-黑皮-香奈儿15
OC4-ARM-WH-1,直角沙发扶手-纯白麻布-KERY-01
OC4-ARM-CR-1,直角沙发扶手-米白麻布-SF-1100
OC4-ARM-CH-1,直角沙发扶手-深灰粗麻-EMMA-02
OC4-ARM-GV-1,直角沙发扶手-灰绒布-HM050-20
OC4-ARM-BV-1,直角沙发扶手-蓝绒布-HM050-15
OC4-ARM-GR-1,直角沙发扶手-绿绒布-苏丽-10
OC4-ARM-BL-1,直角沙发扶手-黑皮-香奈儿15
OC4-SEAT-WH-1,直角沙发座包-纯白麻布-KERY-01
OC4-SEAT-CR-1,直角沙发座包-米白麻布-SF-1100
OC4-SEAT-CH-1,直角沙发座包-深灰粗麻-EMMA-02
OC4-SEAT-GV-1,直角沙发座包-灰绒布-HM050-20
OC4-SEAT-BV-1,直角沙发座包-蓝绒布-HM050-15
OC4-SEAT-GR-1,直角沙发座包-绿绒布-苏丽-10
OC4-SEAT-BL-1,直角沙发座包-黑皮-香奈儿15
O-OTTOMAN4-WH-1,脚踏 -纯白麻布-KERY-01
O-OTTOMAN4-CR-1,脚踏 -米白麻布-SF-1100
O-OTTOMAN4-CH-1,脚踏 -深灰粗麻-EMMA-02
O-OTTOMAN4-GV-1,脚踏 -灰绒布-HM050-20
O-OTTOMAN4-BV-1,脚踏 -蓝绒布-HM050-15
O-OTTOMAN4-GR-1,脚踏 -绿绒布-苏丽-10
O-OTTOMAN4-BL-1,脚踏 -黑皮-香奈儿15
FAB-BOX,布套打包箱子
