epc_hex,label
AD000001,R-FS
AD000002,R-FS
AD000003,R-FS
AD000004,R-FS
AD000005,R-FS
AD000006,R-FS
AD000007,R-FS
AD000008,R-FS
AD000009,R-FS
AD000010,R-FS
AD000011,R-FS
AD000012,R-FS
AD000013,R-FS
AD000014,R-FS
AD000015,R-FS
AD000016,R-FS
AD000017,R-FS
AD000018,R-FS
AD000019,R-FS
AD000020,R-FS
AD000021,R-FS
AD000022,R-FS
AD000023,R-FS
AD000024,R-FS
AD000025,R-FS
AD000026,R-FS
AD000027,R-FS
AD000028,R-FS
AD000029,R-FS
AD000030,R-FS
AD000031,R-FS
AD000032,R-FS
AD000033,R-FS
AD000034,R-FS
AD000035,R-FS
AD000036,R-FS
AD000037,R-FS
AD000038,R-FS
AD000039,R-FS
AD000040,R-FS
AD000041,R-FS
AD000042,R-FS
AD000043,R-FS
AD000044,R-FS
AD000045,R-FS
AD000046,R-FS
AD000047,R-FS
AD000048,R-FS
AD000049,R-FS
AD000050,R-FS
AD000051,R-FS
AD000052,R-FS
AD000053,R-FS
AD000054,R-FS
AD000055,R-FS
AD000056,R-FS
AD000057,R-FS
AD000058,R-FS
AD000059,R-FS
AD000060,R-FS
AD000061,R-FS
AD000062,R-FS
AD000063,R-FS
AD000064,R-FS
AD000065,R-FS
AD000066,R-FS
AD000067,R-FS
AD000068,R-FS
AD000069,R-FS
AD000070,R-FS
AD000071,R-FS
AD000072,R-FS
AD000073,R-FS
AD000074,R-FS
AD000075,R-FS
AD000076,R-FS
AD000077,R-FS
AD000078,R-FS
AD000079,R-FS
AD000080,R-FS
AD000081,R-FS
AD000082,R-FS
AD000083,R-FS
AD000084,R-FS
AD000085,R-FS
AD000086,R-FS
AD000087,R-FS
AD000088,R-FS
AD000089,R-FS
AD000090,R-FS
AD000091,R-FS
AD000092,R-FS
AD000093,R-FS
AD000094,R-FS
AD000095,R-FS
AD000096,R-FS
AD000097,R-FS
AD000098,R-FS
AD000099,R-FS
AD000100,R-FS
